right_id,title,category,price_gbp
R0693,to Talking Girls About Duran Duran: One Young Man's Quest for rue Love and a Cooler Haircut,,26.53
R0119,Bleach Vol 1 Strawberry and the Soul Reapesr Bleach 1,Sequential Art,36.21
R0007,from Miracles Heaven A Little Girl Her Journey to Heaven Her Amazing Story of Healing,Nonfiction,57.83
R0171,Equal Is Unfair: America's MisguidedF ight Against Income Inequality,Politics,56.54
R0584,The Year of Living Biblically One Mans Humble Quest to Follow the Bible as Literally as Possible,Default,34.72
R0436,Complete The Poems,Add a comment,41.32
R0058,Watchmen,Add a comment,58.05
R0202,Arnea,Science Fiction,22.36
R0279,The Invention of Wings,Historical Fiction,35.24
R0576,Eclipse,Default,16.33
R0634,Four The Agreements,Science,17.66
R0208,A Murder Over a Girl Justice Gender Junior High,Nonfiction,14.67
R0428,Torch The Is Passed :A Harding Family Story,Add a comment,20.37
R0249,Good Beyon & Evil,Philosophy,44.92
R0578,The Girl Who Kicked the Hornte's Nest (Millennium Trilogy #3),Add a comment,55.31
R0442,If I Run (If I Rn #1),Novels,47.35
R0657,The New Guy (and Other Senior Year Distrations),Young Adult,43.83
R0418,Beowulf,Classics,38.35
R0477,The Raen Boys,Fantasy,54.02
R0178,Glass The Castle,Add a comment,16.24
R0050,Player Ready One,Science Fiction,19.23
R0245,Angels & Demons,Default,55.45
R0214,Camp Midnight,Sequential Art,17.08
R0398,Like Steal an Artist 10 Things Nobody Told You About Being Creative,Default,20.9
R0522,for Packing Mars The Curiou sScience of Life in the Void,Default,62.59
R0459,"Giant Days, Vol. 1 (Gant Days #1-4)",Sequential Art,59.67
R0355,The Selfish Gene,Science,33.1
R0370,The 10% Entrepreneur,Business,29.03
R0365,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,41.25
R0121,It Give Back,Classics,18.41
R0507,That Darkness (Gardiner & Renner #1),Mystery,12.61
R0536,Stars Above,Young Adult,48.05
R0368,Note sfrom a Small Island Notes From a Small Island 1,Nonfiction,35.55
R0646,Wake Dead,Default,37.31
R0149,Layered,,40.29
R0129,Aamtus,Default,51.99
R0558,Rook,Add a comment,41.03
R0514,Island of Dragons,Fantasy,32.38
R0633,#GILBOSS,Add a comment,49.73
R0216,Closed Behind Doors,Thriller,45.9
R0681,Raven The King,Add a comment,28.43
R0729,You Whered Go Berandette,Default,15.83
R0077,Gratitude,Nonfiction,26.66
R0510,Mabe Something Beautiful How Art Transformed a Neighborhood,Childrens,22.54
R0725,History A of God The 4000Year Quest of Judaism Christianity and Islam,,27.62
R0006,Motheing Sunday,Fiction,15.18
R0400,Lola and the Boy Next Door Anna and the French Kiss 2,Young Adult,23.63
R0516,The Light of theFireflies,Add a comment,57.26
R0612,Tellthe Wind & Fire,Womens Fiction,40.1
R0051,Algorithms to Live By The Computer Science of Human Decisions,Young Adult,30.25
R0574,The Matchmakers Playbook Wingmen Inc 1,,60.19
R0552,The Art of Startup Fundraising,Add a comment,21.0
R0700,All the Light We Cannot See,Historical,29.87
R0180,Foundation Foundation Publictaion Order 1,Science Fiction,32.4
R0746,The Artists Way,Nonfiction,36.3
R0326,Draa,Default,38.7
R0271,WhiteT he Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,58.1
R0359,1000 Places to See Before You Die,Travel,26.5
R0169,Gone with hte Wind,Classics,28.56
R0314,Shamless,,64.1
R0568,Dinner Teh Party,Fiction,55.46
R0347,The Epxatriates,Fiction,44.58
R0133,Epstein Scarlett Hates It Here,Young Adult,43.55
R0467,Contessa Barefoot Back to Bsaics,,31.34
R0611,Last One Home Ne Beginnings 1,Fiction,62.26
R0736,A Paris Apartemnt,Historical Fiction,39.01
R0113,Thomas Jefferson and the Tripoli Piartes,History,52.95
R0655,Rip it Up and Start Again,Music,35.02
R0046,The Darkest Corners,Young Adult,11.33
R0304,Hamilton The Revolution,Nonfiction,64.08
R0371,Contessa Barefoot at Home: Everyday Recipes You'll Make Over and Over Again,Food and Drink,49.34
R0200,"Fruits Baske,t Vol. 3 (Fruits Basket #3)",Art,45.17
R0139,Im When Gone,Fiction,51.96
R0096,Death Note Vol 5 Whiteout Death Note 5,Sequential Art,59.31
R0601,The Smitten Kitchen Cookbook,Food and Drink,23.59
R0235,Creatures Beautiful (Caster Chronicles #1),Default,22.1
R0473,No Love Allwoed,Young Adult,54.65
R0194,The Origin of Species,Science,8.69
R0492,Foolproo Preserving,Food and Drink,30.52
R0530,Ops Art Vol 1,Sequential Art,42.29
R0352,Sarahs Key,Add a comment,50.64
R0622,Argonauts The,Autobiography,9.85
R0114,The Wright Brothers,Default,60.8
R0312,Tales Musicophilia: of Music and the Brain,,47.55
R0086,The 14th Colony (Cotton Malone #11),Thriller,36.49
R0572,The Land of 10000 Madonnas,Young Adult,29.64
R0307,Name The of God is Meryc,Nonfiction,37.25
R0527,How to Be Miserable 40 Strategies You Already Use,Self Help,46.03
R0383,to Clsoe You,Christian Fiction,56.48
R0603,Hitchhikers The Guide to the Galaxy Hitchhikers Guide to the Galaxy 1,Add a comment,47.8
R0542,Smarter Faster Better: The Secrets of Being Productive in Life & Business,Nonfiction,36.81
R0078,Activist's The Tao Te Cing,Spirituality,28.35
R0608,The House by the Lake,Historical Fiction,38.91
R0631,Overload,Self Help,52.15
R0435,Know I Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Default,36.83
R0707,Take Me Hom Tonight Rock Star Romance 3,Horror,55.26
R0032,Point Tipping for Planet Earth,,33.17
R0087,Pleae Kill Me,Music,31.19
R0692,HighrSelfie,Nonfiction,20.4
R0534,Emerald The Mystery,Default,25.21
R0669,Forward: Living A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,12.59
R0104,Princess Between Worlds,Fantasy,13.34
R0239,Daiyl Fantasy Sports,Default,37.95
R0102,Dark Places,Business,24.99
R0545,"Girls, Paper oVl. 1 (Paper Girls #1-5)",Sequential Art,21.71
R0638,Lost mAong the Living,Historical Fiction,27.7
R0694,The Bourne Identity,Fiction,42.78
R0156,Zero History Ble Ant 3,Default,39.55
R0199,"Tried: Mama Traditional Italian Cooking for the Screwed, Crude, Vegan, & Tattooed",Food and Drink,15.5
R0407,Diary The of a Young Girl,,59.9
R0123,The Hidden Oracle The Trias of Apollo 1,Fantasy,51.77
R0413,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (201-2015) #1)",Sequential Art,41.54
R0126,The Batman,Sequential Art,14.16
R0513,Out of Print: City Lights Spotligh tNo. 14,Poetry,53.64
R0345,Junkie Approval,Nonfiction,65.79
R0234,"of Orchestra Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Sequential Art,13.66
R0182,No1 The Ladies Detective Agency No 1 Ladies Detective Agency 1,Mystery,57.7
R0190,Ol Records Never Die: One Man's Quest for His Vinyl and His Past,Music,61.64
R0589,Vol Lumberjanes 2 Friendship to the Max Lumberjanes 58,Womens Fiction,52.61
R0049,Sleeping Giants,Science Fiction,41.57
R0605,"Ouran High School Host Club, Vol. 1",Sequential Art,28.16
R0301,Fellsde,Food and Drink,38.62
R0373,The Golden Compass,Autobiography,20.89
R0728,Thyme Counting,Childrens,12.02
R0028,Aristotle and Dante Discover the Secretsof the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Thriller,57.04
R0749,Gilr Twenties,Womens Fiction,42.8
R0318,Complete The Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,26.78
R0037,Perfect The Play (Play by Play #1),,65.33
R0110,"the Life, Universe and Everything",Science Fiction,33.26
R0236,Sugar Rush Offensive Lin e2,Sports and Games,24.42
R0609,The Life-Changing Magic of Tidying Up: TheJ apanese Art of Decluttering and Organizing,Nonfiction,17.51
R0720,Walt Disnys Alice in Wonderland,Childrens,11.66
R0065,Mysterious The Affair at Styles,Mystery,24.8
R0595,More Eaternity than 150 Deliciously Easy Vegan Recipes for a Long Healthy Satisfied Joyful Life,,51.75
R0701,Orange Is the New Black,Business,24.61
R0263,A Court of Thorns and Roses A Court of Thorns and Roses 1,Fantasy,51.17
R0209,"William Shakespeare's Star Wars: Verily, A New Hope (William Sakespeare's Star Wars #4)",Science Fiction,45.72
R0132,Flags lBack,Nonfiction,40.87
R0186,"Rat Queens, Vol. 1",,47.55
R0515,Most Wanted,Mystery,33.69
R0726,Youre Surely Joking Mr Feynman Adventures of a Curious Character,Parenting,23.36
R0143,Across Trespassing America One Mans Epic NeverDoneBefore and Sort of Illegal Hik Across the Heartland,,53.51
R0148,Vol. Superman 1: Before Truth (Superman by Gene Luen Yang #1),Health,12.02
R0336,Modern Rmance,,32.01
R0504,Misery,Horror,33.06
R0354,13 Hours The Inside Account of What Really Happened In Benghazi,Nonfiction,29.7
R0362,Doing It Over Most Likely To #1),Romance,35.61
R0446,Art Teh Book,Art,27.83
R0327,The Outliers: Story of Success,Nonfiction,14.16
R0024,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Wtihout Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,24.57
R0164,The Death of Humanity and the Case fo Life,Philosophy,65.94
R0055,Doctor Sleep The Shining 2,Horror,35.66
R0052,Heart Every a Doorway Every Heart A Doorway 1,Fantasy,12.34
R0023,The Pilgrim's Progress,Classics,56.2
R0025,"Bitch Planet, Vol. 1",,37.92
R0287,My Life Next Door My Life Next Door,Young Adult,40.46
R0517,I Will FindY ou,Nonfiction,44.21
R0422,New The Drawing on the Rght Side of the Brain,Art,41.22
R0261,The Inefficiency Assassin,Default,22.4
R0445,Peak,Science,16.14
R0027,The Flowers Lied,Default,16.68
R0419,Psychopath The Test,Default,36.0
R0735,Matilda,Short Stories,25.51
R0147,In the Garden of Beasts Love Terror  an American Family in Hitlers Berlin,Nonfiction,28.85
R0008,Redeeming Love,Sports and Games,22.55
R0068,Disrupted My Misadventure in the StartUp Bubble,Nonfiction,15.28
R0330,Every Last Word,Default,49.65
R0074,Crown of Midnigt (Throne of Glass #2),Fantasy,47.29
R0587,Soldir,Fantasy,24.72
R0559,"Far & Away: Places on the Brink of Change: Seven Continent,s Twenty-Five Years",,15.06
R0292,Lab Girl,Autobiography,40.85
R0405,A Hero's Curse (The Unseen Chronicles #1),Add a comment,50.49
R0394,The Power Greens Cookbook: 140 Delicious Superfood Recipes,Food and Drink,11.78
R0600,Vegan Vegetarian Omnivore Dinner for Everyone at th eTable,Food and Drink,12.98
R0685,Notes Underlying,Default,11.32
R0533,Search Man' sfor Meaning,Nonfiction,29.48
R0215,Storm A of Swords (A Song of Ice & Fire #3),Fantasy,31.22
R0100,Can You Keep a Secret Fear Street Relaunch 4,Young Adult,52.72
R0240,Fleurs Lesd u Mal,Poetry,29.04
R0485,Morning Star,Default,29.4
R0590,"of House Lost Worlds: Dinosaurs, Dynasties, & the Story of Life on Earth",History,43.7
R0458,The Girl with All the Gifts,Horror,49.47
R0562,The Thir dWave,Business,12.54
R0427,Candide,Classics,58.19
R0432,The Man Who Mistook His Wife for a Hat  Other Clinical Tales,Nonfiction,63.31
R0323,The Dirty Little Secrets of Getting Your Dream Job,Business,33.34
R0117,The Girl You Lost,,12.29
R0451,Zealot,History,22.62
R0085,Requiem The Red,Young Adult,23.73
R0389,Th eGuns of August,History,14.54
R0057,Catching Jordan,Young Adult,49.48
R0499,(Fever Darkever #1),Romance,53.57
R0582,Life Still with Bread Crumbs,Fiction,29.73
R0278,The ime Keeper,Fiction,30.65
R0548,Forever  Forever,Historical Fiction,33.49
R0653,The reat Gatsby,Politics,36.05
R0247,'Em Kill and Leave,Music,45.05
R0390,A Murder in iTme,Biography,16.64
R0181,for Looking Lovely,Nonfiction,27.49
R0643,In the Woods (Dbulin Murder Squad #1),Mystery,38.38
R0207,Fnu Home,Add a comment,56.59
R0660,Enough Brave,Fiction,50.7
R0356,Sense an Sensibility,Classics,33.92
R0260,Somene Like You (The Harrisons #2),Contemporary,53.13
R0624,Pride & Prejudice,Add a comment,19.27
R0599,Maybe Pnny,,33.29
R0377,Odyssey The,Add a comment,29.64
R0276,Didn't It Start with You: How Inherited Family Trauma Shapes Who We Are & How to End the Ccle,Psychology,56.37
R0105,Life Without a Recipe,Autobiography,59.04
R0456,with Running Scissors,Autobiography,14.33
R0257,Rest The Is Noise: Litsening to the Twentieth Century,Add a comment,34.77
R0486,Annie on My Mind,Young Adult,39.9
R0561,The Grand Deign,Science,13.76
R0541,Made to Stick Why Some Ideas Survive & Others Die,Business,41.34
R0265,Luis Paints te World,Childrens,52.13
R0066,Unlikel The Pilgrimage of Harold Fry,Default,48.11
R0198,the Catherine Great,History,55.18
R0295,Hook The Up,New Adult,35.03
R0628,Mockingjay (The Hunger Games #3),Default,18.24
R0615,(The Eragn Inheritance Cycle #1),Fantasy,49.57
R0698,House o Leaves,Horror,54.89
R0414,Stand The,,57.26
R0320,Critique of Pure Raeson,Philosophy,18.43
R0071,Dera Sister,Fiction,45.28
R0732,Blue Like Jazz: Nonreligious Thought on Christian Spirituality,Christian,25.77
R0697,for One the Money,,35.07
R0157,Avatar The Last Airbender Smoke and Shadow Part 3 Smoke and Shadow 3,Fantasy,26.99
R0364,Lte It Out,Nonfiction,23.71
R0333,and Paper Fire (The Great Library #2),Fantasy,49.89
R0737,Maude 18839193She Grew Up with the country,Default,18.66
R0386,Listen to Me,Romance,58.99
R0103,World A of Favor,Default,42.99
R0684,Niether Here nor There: Travels in Europe,Travel,39.15
R0095,The Travleers,,15.77
R0158,Secret Teh of Dreadwillow Carse,Childrens,60.24
R0482,The Immortal Lifeo f Henrietta Lacks,,35.37
R0130,Oru Band Could Be Your Life,Music,57.53
R0662,Everyday Italain,Food and Drink,18.73
R0294,Talk Me Pretty One Day,,57.6
R0155,Piece A of Sky a Grain of Rice A Memoir in Four Meditations,Default,58.83
R0013,Danganronpa Volume 1,Sequential Art,51.99
R0328,Be Dont a Jerk And Other Practical Advice from Dogen Japans Greatest Zen Master,Religion,42.54
R0337,Before Me You (Me Before You #1),Fiction,20.15
R0019,Rhythm Chord  Malykhin,Romance,28.34
R0205,Bane The Chronicles,Fantasy,44.73
R0575,Cross Charitys Charles Towne Belles 4,Romance,41.24
R0626,Little Women (Little Women #1),Classics,30.23
R0739,Wild Swans,Young Adult,12.79
R0106,Medtations,Philosophy,28.18
R0384,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy & Save the Earth,,25.47
R0313,Pretend Lets This Never Happened A ostly True Memoir,Nonfiction,44.95
R0134,Gir Luckiest Alive,Default,49.65
R0005,1491 New Revelations of the Americas Before Columbus,History,23.17
R0670,Paris Private Private 10,Fiction,47.61
R0285,If I Gave You Gods Phone Number Searching for Spirituality in America,Spirituality,20.91
R0227,Americas Cradle of Quarterbacks Western Pennsylvanias Football Factory from Johnny Unitas to Joe Montana,Default,22.5
R0290,Spys A Devotion The Regency Spies of London 1,Historical Fiction,16.97
R0637,Rboin War,,51.13
R0433,Wuthering eHights,Classics,16.86
R0306,The Persepolis Story ofa Childhood Persepolis 12,,39.13
R0537,Nights Tuesday in 1980,Fiction,18.52
R0022,It's Never Too Late to Begin Again,Contemporary,44.74
R0594,Modern Day Fables,Default,47.44
R0138,Vol Hawkeye 1 My Life as a Weapon Hawkeye 1,Childrens,43.57
R0361,Counted With the tars Out from Egypt 1,Contemporary,15.28
R0244,Only It's the Himalayas,Travel,45.17
R0663,The Maze unner The Maze Runner 1,Default,21.11
R0672,Eureka Trivia 6.0,Default,54.59
R0403,Worlds Elsewhere: Journeys AroundS hakespeare’s Globe,Nonfiction,40.3
R0686,Metamorphosis The,Fiction,28.39
R0256,The Lovr's Dictionary,,58.09
R0012,Nanny The Diaries (Nanny #1),,51.82
R0596,The Electric Pencil Drawingsfrom Inside State Hospital No 3,Nonfiction,57.31
R0344,Cdoe Name Verity Code Name Verity 1,Add a comment,22.13
R0150,Hound The of the Baskervilles Sherlock Holmes 5,Classics,14.71
R0401,The Alien Club,Young Adult,54.4
R0457,Vacationers The,Fiction,36.53
R0033,If?,Default,53.68
R0564,An Unquie Mind,Health,18.77
R0172,& Isla the Happily Ever After( Anna & the French Kiss #3),Young Adult,48.56
R0406,In a Dark Dark Wood,,19.63
R0585,Te Obsession,,49.54
R0174,Sides Off (Off #1),New Adult,41.57
R0474,Dream No Is Too High,Nonfiction,21.95
R0497,Girls Lilac,,15.34
R0262,How to Be a Domestic Goddes,Food and Drink,28.25
R0339,Join,Science Fiction,35.67
R0107,Benjamin Franklin,Biography,48.19
R0546,Brazen The Courage to Find the You Thats Been Hiding,Nonfiction,19.22
R0338,Lonely The Ones,Paranormal,44.87
R0550,Surviving Troublemaker: Hollywood and Scientology,Default,51.1
R0742,The Bulletproof Diet Lose up to a Pound a Dya Reclaim Energy and Focus Upgrade Your Life,Psychology,49.05
R0093,Jon Vassos,Default,21.26
R0682,he Throught Woods,Sequential Art,23.09
R0302,The Boys in the Boat: Nine Americans & Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6
R0645,The BookT hief,Default,53.49
R0500,Harry Potter and the Sorcerers Stone Harry Potter 1,Crime,13.9
R0711,Demigods & agicians,Fantasy,36.88
R0311,Infintiies The,,28.25
R0463,Forever Rockers (The Rocker #12),Music,28.8
R0140,Most The Perfect Thing: Inside (and Outside) a Bird's Egg,Science,36.86
R0450,The Beast Black Dagger Brothrehood 14,Fantasy,52.62
R0661,UnQualified ow God Uses Broken People to Do Big Things,Christian,54.0
R0441,Redaer Soul,Default,39.58
R0011,"Vol. Fables, 1",Sequential Art,39.09
R0035,Nakd,Humor,34.9
R0141,Intuition Unlimited Now,Default,62.31
R0434,Aladdin & His Wonderful Lamp,Default,56.55
R0421,Very Good Lives: The Fringe Benefits of Failure & the Importance of Imagination,Nonfiction,50.66
R0447,The Cuckoo's Calling,Mystery,19.21
R0220,Heartbreaking A Work of Staggering Genius,Autobiography,54.23
R0321,"Disappearing The Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",,57.35
R0621,The rBidge to Consciousness,Sequential Art,32.0
R0417,I Had a Nice Time  Other Lies How to find love  sht like that,Travel,55.57
R0015,The Corse of Love,Health,16.78
R0258,Epidemic The (The Progra m0.6),Young Adult,14.29
R0319,Nightstrukc,Young Adult,52.31
R0254,Black Dust,Romance,35.94
R0738,Poems That Make Grown Women Cyr,Poetry,14.54
R0521,Better Homes & Gadrens New Cook Book,Food and Drink,40.65
R0443,"Sandman, The Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,55.55
R0555,"Rich Dad, Poor Dda",,51.74
R0173,Ties Shopaholic the Kont (Shopaholic #3),,41.64
R0237,On a Midnight Clear,Add a comment,14.07
R0193,Walk the Edge Thunder Road 2,Young Adult,30.14
R0091,Take Me with You,Fiction,45.21
R0061,The Children,Add a comment,11.88
R0654,Sster Sable (The Mad Queen #1),Fantasy,13.33
R0399,Tracks Unicor,Fantasy,18.78
R0088,Shining The The Shining 1,Default,27.88
R0579,My Mother Was Nuts,Art,31.63
R0691,The Hunger Games (he Hunger Games #1),Paranormal,26.74
R0248,Rosie The Project (Don Tillman 1),Psychology,54.04
R0018,Teh Silent Twin,Thriller,36.25
R0392,This One Moment Pushing Limits 1,Romance,54.81
R0538,"All It's Easy: Healthy, Delicious Weeknight Meals in under 30 inutes",Food and Drink,22.28
R0705,Littel Red,,13.91
R0658,Rose The the Dagger The Wrath and the Dawn 2,Fantasy,67.1
R0632,Ash,Fantasy,21.15
R0221,Y,Sequential Art,17.02
R0303,& Secrets Lace Fatal Hearts 1,Politics,20.27
R0613,Seven Judo Steps to Black Belt an Introductory Guide for Beginners,Add a comment,53.9
R0322,Basket Fruits Vol 2 Fruits Basket 2,Sequential Art,11.64
R0308,Tsubasa WoRLD CHRoNiCLE  Tsubasa WoRLD CHRoNiCLE 2,Sequential Art,16.98
R0648,"Volume Saga, 1",Sequential Art,28.48
R0560,God Finding in the Ruins: How God Redeems Pain,Nonfiction,46.3
R0614,The Story of Hnog Gildong,Classics,43.19
R0625,One 2nd Seven 7,Fantasy,52.94
R0168,Little The Paris Bookshop,Fiction,23.58
R0440,Brigth Lines,Fiction,38.47
R0291,Chernobyl 012340 The Incredible True Story of the Worlds Worst Nuclear Disaster,Nonfiction,35.92
R0187,The First Hostage JB Colins 2,Fiction,25.85
R0273,Me? Remebmer,,11.48
R0464,Bossypants,Default,49.46
R0146,The Collected Poems of WB Yeats The Collected Works of WB Yeats 1,Poetry,15.42
R0402,End The of the Jesus Era (An Investigation #1),,14.4
R0553,South ofS unshine,Young Adult,28.93
R0305,of Lord the Flies,Academic,25.13
R0366,Lightning Where Strikes Bleeding Stars 3,,40.91
R0673,Soft Apocalypse,Science Fiction,26.12
R0512,Needful Thins,Adult Fiction,54.08
R0618,Civilization Its Discontents,Nonfiction,62.52
R0730,Soumission,Fiction,50.1
R0116,The Republic,Historical,33.78
R0520,Changing the Game (Play by Play# 2),Romance,12.41
R0152,"Red Hood/Arsenal, Vol. 1",Business,27.3
R0259,Born to Run,Nonfiction,27.35
R0067,Dune,Science Fiction,50.28
R0363,Room TheZombie,Default,19.69
R0184,You Will Won't Yu Want Me?,,15.16
R0468,What NaNo Now Finding your editing process revising your NaNoWriMo book & building a writing career through publishing & beyond,,9.09
R0387,The Name of the Wind (The Kingkiller Chrnicle #1),Default,43.12
R0501,Was Oce a Time,Childrens,19.69
R0642,"City: Unseen The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18
R0098,Why Not M?,Nonfiction,17.76
R0137,Whats It Like in Space Stories from Atsronauts Whove Been There,Nonfiction,19.76
R0518,We Are Smart Enough to Know How Smart Animals Are?,Nonfiction,57.87
R0229,Something Borrowed,,48.96
R0714,Flight A of Arrows (The Pathfinders #2),Historical Fiction,62.19
R0125,Choosing Our Religion The Spiritual Lives of Americas Nones,Religion,28.42
R0166,Fortress Digital,Fiction,58.0
R0075,Rise The of Theodore Roosevelt,Biography,42.57
R0652,Booked,Poetry,17.49
R0233,Raspberry Pi Electronics Projects for the Evil Genius,Default,44.36
R0206,(Lux Obsiidan #1),Young Adult,14.86
R0734,Three-Martini uLnch,Fiction,23.27
R0687,Mesaerion,Science Fiction,35.18
R0549,The Girl You Left Behind,Historical,17.34
R0659,Know I What Im Doing and Other Lies I Tell Myself Dispatches from a Life Under Construction,Humor,25.98
R0009,A New Earth Awakening to Your Lifes Purpose,Music,55.65
R0350,"Love We oYu, Charlie Freeman",Fiction,50.45
R0020,Elegant The Universe,Science,13.74
R0679,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Bakcroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,36.28
R0185,Guernsey The Literary and Potato Peel Pie Society,Historical Fiction,49.53
R0056,Gril The on the Train,,55.1
R0431,Birdsong,Childrens,61.74
R0128,Today Mexican New & Rediscovered Recipes for Contemporary Kitchens,Historical Fiction,25.06
R0188,can't You ury them all: Poems,Poetry,31.01
R0744,America's War for the Greater Middle East,History,50.24
R0719,Widow The,Mystery,27.26
