left_id,right_id
cb17945cb90b7837,R0122
992974ba6a0536ea,R0123
e049d44c4f1cf1b2,R0124
a812f6969ddf3e39,R0125
47271d8e08b5d31c,R0126
60369d96b7b80869,R0127
12a90b90283b2e6d,R0128
ffd54178acc9a6a5,R0129
deda3e61b9514b83,R0130
c1379d3744f1dd2c,R0131
860318b8e244f39c,R0132
1c929cfd16b71907,R0133
d512871626a5e588,R0134
08decd9664e5d56e,R0135
9189fd009df41d0e,R0136
6fd646a334e6e133,R0137
6fe02600f322a0a9,R0138
c5f91eb481427dc5,R0139
aadee1c326d286e3,R0140
4fd0a2a350f016e6,R0141
03cbb67c0f990d87,R0142
2173a2ce35f6ace1,R0143
366a236aa1ea6f07,R0144
487449f4f6322f0f,R0145
3d250ab0f12be445,R0146
d8292cd5f1aca291,R0147
ac8e3949d284e9a9,R0148
7b75cc7f223791f4,R0149
6587f46697fc4443,R0150
3063c7e95d0bf76f,R0151
31e2e2d9cca3778f,R0152
8d4eefad7a2b3915,R0153
ef49db2aaa9bb547,R0154
8a380641491d43ed,R0155
634b7165c96ebb9f,R0156
6d5300b2d8f37e07,R0157
b5ea0b5dabed25a8,R0158
acddfeab2a407640,R0159
b0e479be03911916,R0160
0bbc48294707ba96,R0161
ca71e72655bece85,R0162
40c4bf520c17de54,R0163
bd261725b99f5983,R0164
8d8e9f9b8730eb25,R0165
94bb629a3f6dd00b,R0166
2e40333991f56f45,R0167
dfd9ff1f343cdaff,R0168
23310ce84d3c9f85,R0169
e80f8e518b300dfe,R0170
3968e3fbf4695d7c,R0171
45045146dbf7b009,R0172
38199c5d7da0c0ef,R0173
b6f1cfadc4dd79d4,R0174
6a57286a8890d8c5,R0175
8976d9161c027142,R0176
4781b6bfd6f7a2c5,R0177
47f4fd3e8e1dac05,R0178
3b9a3b4624b7fd6d,R0179
3fc124f59f3068e4,R0180
24af96df0bafb925,R0181
b0913e67d38d5ed5,R0182
4d3a4c7b442a9a4e,R0183
077b635ff2afc578,R0184
4a0a276409968a73,R0185
3cdca3b4a93980f5,R0186
a86972014275e072,R0187
55f9da0c5eea2e10,R0188
5569c3fea112718e,R0189
a1985630339f4b3d,R0190
f3a0b8c835129558,R0191
be3db344a845580b,R0192
0e4e2d31c2fb3aad,R0193
0345872b14f9e774,R0194
5fbd03b1ac0a0e69,R0195
5a6b7155f2797537,R0196
4e980425468708da,R0197
f3c70d296ec796c4,R0198
72f9d5be3472d34e,R0199
d5f5a122a593b580,R0200
d6361d16212664ed,R0201
2c34f9432069b52b,R0202
bee3672891cca906,R0203
970bd3316219e7dc,R0204
dc6f688b82e42a5b,R0205
3c346ab1e76ae1f6,R0206
56a34d0cec11d6b0,R0207
fef91502cbacf23a,R0208
9270575728a13a61,R0209
7284d85428305f5a,R0210
c88422d8959260ab,R0211
5ee94540d0749ea0,R0212
8dde2ff3f6fcc0a3,R0213
7b599c8bfcdd8d30,R0214
87beabf664115d79,R0215
be5cc846f45496fb,R0216
582a21a1dbbef3cf,R0217
1d89a2aa9f6ce50f,R0218
48736df57e7bec9f,R0219
c9770bb1d5a492a0,R0220
09d26b5f819c6a36,R0221
8754c83ab2a7ae71,R0222
61bc8167c9680283,R0223
4130678275eb7c8c,R0224
9707989a439757b4,R0225
4b9d9cfe0f435788,R0226
c7d160c2c0de586f,R0227
6983328f15506cb9,R0228
ac27ab4bcd9c492e,R0229
0e0dcc3339602b28,R0230
20dc4f1ac5d4fd9c,R0231
dfb0849016bc122c,R0232
ebf81a62e4798fd1,R0233
2ba5ccc84d35006c,R0234
5439bae708bca198,R0235
ce42e3de94226b2b,R0236
b757c0c361e689ce,R0237
ba54932df84e8cea,R0238
0e94a089328be4bc,R0239
c44c5e1425475206,R0240
8e9dd8431170c09e,R0241
e7469e22b5bfb3e7,R0242
047dfa57ba0bf638,R0243
a22124811bfa8350,R0244
ad41c24ccac0c7ce,R0245
0fa6dceead7ce47a,R0246
39eefec3a8498dde,R0247
012094e90a4b908d,R0248
08672cd59171d5e4,R0249
f51062bf579507d9,R0250
cfeb1e1e0e695b58,R0251
95019eac1c0a052f,R0252
d01ac97e2b8947c2,R0253
00bfed9e18bb36f3,R0254
18b4545a5ed15581,R0255
36c15687f5ab0f7c,R0256
e2d47e82c50d41d9,R0257
f732d7d18a91d2ba,R0258
e256de8aa0c2115f,R0259
a278db6b2b09cf9f,R0260
8c9e6bf2467d740d,R0261
eff5710404e2ff78,R0262
01d2001ac1e6f8a3,R0263
b4f5672f68ec3a83,R0264
5b43cae640f2338a,R0265
2d1e337aaf341858,R0266
de4b403cb629a29f,R0267
dab5e75d1339706a,R0268
bfd5e1701c862ac3,R0269
cd2a2a70dd5d176d,R0270
37c0cb19713d8dda,R0271
ce1ae197ada2aec4,R0272
2973d38c2fbd7a5c,R0273
a2dc754afb69bb32,R0274
f21effc079a2b38a,R0275
ce8666d9b42fc9a0,R0276
a7eef9d6795422c1,R0277
e9906e2f0d189745,R0278
e6635f5b0a2c78db,R0279
d3f9c4539c0caa64,R0280
ad15a9a139919918,R0281
9f6568e9c95f60b0,R0282
a9d7b75461084a26,R0283
e77033ce559947f7,R0284
8fab4c4f6f82a4ce,R0285
1dfe412b8ac00530,R0286
9a7291b89bd5445c,R0287
155e42df837ee5ff,R0288
d6d9ffea95f2f8bf,R0289
19fec36a1dfb4c16,R0290
7186241e043de5dc,R0291
825d6c44da3ca5a6,R0292
d7310206583a54b6,R0293
abc4a7ee16c21088,R0294
6e473eff459e809f,R0295
4242cc3d0437db12,R0296
e72a5dfc7e9267b2,R0297
b9f6305a3d650e2c,R0298
6e06d0f00f6da20f,R0299
41fc5dce044f16f5,R0300
147019cae600694e,R0301
e10e1e165dc8be4a,R0302
ad04ad9fc179fc5d,R0303
afa829857f82f99e,R0304
71a6471bbdac21d9,R0305
cb62418129b864a3,R0306
0baf71623648413a,R0307
09555be379ad9253,R0308
9a9d6e9bc555731e,R0309
31c56c4d0fe19340,R0310
554e9e2d532b3a87,R0311
6d235933670503d9,R0312
1246e4ffeb5ac4ea,R0313
c068c013d6921fea,R0314
7093cf549cd2e7de,R0315
4b50fb1359ebf35d,R0316
47d47155e89c8be7,R0317
cad70d6ffd53912f,R0318
746029796363aa51,R0319
429b4a811bef386c,R0320
63c0826ef59eae66,R0321
c0db71f6bb14db11,R0322
2597b5a345f45e1b,R0323
7f5157bf53065d36,R0324
0c11e2d068768dbb,R0325
d5ad4c92d8bf26c9,R0326
09a7b0b566ad6225,R0327
fce19f9b4a943f22,R0328
9639e89d20228e6e,R0329
a2bd4ca82d908442,R0330
1e264c677d4ee4ae,R0331
a8f4577a48023344,R0332
ae884ac655d6ee3e,R0333
df7e628bad5782b4,R0334
f0f38174a7e689a3,R0335
caf4fe9311f1dc59,R0336
7a2b51f69e81c722,R0337
cf2f27fdf94ba20e,R0338
18ad3ed896c7ce05,R0339
50b8f80311b31ede,R0340
5c10b64db3e4f228,R0341
84bb29c53592ac40,R0342
f06039c29b5891fa,R0343
33a3e0e3ffde0dcd,R0344
612369a5947a012e,R0345
f201f263d8c23f97,R0346
fe7210553d56c097,R0347
88c21fcd38e2486e,R0348
281a244ce1954711,R0349
8d455c7539795d2a,R0350
725cd8d23d78cdca,R0351
5b2cd5b31a510848,R0352
3455b45888fb5053,R0353
4be9d1910f8a4e80,R0354
6f2c0a9adbb2bca9,R0355
35e44170702139a4,R0356
9eaf58b03a2779cc,R0357
d2185b65af52d68c,R0358
228ba5e7577e1d49,R0359
1774749f2cee292f,R0360
4807043b8218e9ce,R0361
3a11bb962ff45b78,R0362
9c96cd1329fbd82d,R0363
1174156c4a0eccaa,R0364
11809b1d323b3057,R0365
def389ddfda6991b,R0366
9b65f676984c9f0c,R0367
cb65e49993db9a93,R0368
190fbebbf798c31a,R0369
56e4f9eab2e8e674,R0370
0e0da9192a025efc,R0371
0812f54c93d726ce,R0372
d33824cb93ecab6f,R0373
a10c7515834240f3,R0374
9ffa38d3b832433a,R0375
38f776ab9118aed7,R0376
f0512adadffd2480,R0377
2a97cffe61c3c4c7,R0378
d5e1a9bfe22bbf9f,R0379
bfbb54bc8cdeed2b,R0380
1c89ae5bb804e4de,R0381
46c1530d7546ea6d,R0382
a57b1dcbd6849222,R0383
ddc8340dabc8641b,R0384
45033bdf3d9ed158,R0385
6e712ea24e77bd96,R0386
c8614adb1a90b027,R0387
ff6bb30dd0c482a6,R0388
b5da59dd177eb36b,R0389
f733e8c19d40ec2e,R0390
16ef91b9d827859c,R0391
d6d98d3508c30f57,R0392
cc1936a9f4e93477,R0393
f701fae56b645ef7,R0394
ca74f2e3c35a3e77,R0395
d69dd8dac66f9f84,R0396
116a2fdc9a45bab0,R0397
8776181be110838a,R0398
7ae099f3898e0209,R0399
5e1a88d248599768,R0400
e77594ece9b9d1fe,R0401
09659d1639a1f978,R0402
4c28def39d850cdf,R0403
5eff05e59f905a49,R0404
c181ca8eabe7d18c,R0405
19ed25f4641d5efd,R0406
54fc03f1e1d355db,R0407
71e36f33981ddb74,R0408
96aa539bfd4c07e2,R0409
9c4d061c1e2fe6bf,R0410
b716233fcb6877e6,R0411
0bfdef63285d3019,R0412
35a60467893aa168,R0413
49f24193f0b961e6,R0414
05f7c6d9a4e582d3,R0415
590a9cccf7db9f7d,R0416
fd8585283fc7d2d7,R0417
3fb69f34e178d494,R0418
e98a4efa85070c2f,R0419
c7b5183f4d1d4efe,R0420
52aa3d79b1cee455,R0421
3eec766dda26fa64,R0422
5ceb951f629700a2,R0423
919e7cb2269a25d2,R0424
d5c588b6f9c015e4,R0425
c7c4f55b7321cba7,R0426
2798974abc8a58a8,R0427
4eed62cf5f8d8edf,R0428
7858914fad68493c,R0429
c2e46a2ee3b4a322,R0430
9528d0948525bf5f,R0431
60376aa71be66083,R0432
5a7ff9aaa3168878,R0433
904208d6aa64b655,R0434
d219d4e325e6f204,R0435
23707d3ddf14a999,R0436
e4c7f3487d17fd42,R0437
1451b55e5e56bb89,R0438
5b987e54ee72525c,R0439
230ac636ea0ea415,R0440
e6af5bf1163c1151,R0441
61569d12d4ae7161,R0442
91eb9605998a7c03,R0443
f935412970c9f58f,R0444
6036239d2ab349b7,R0445
4b8fa561a1e52d1c,R0446
1be6d3b121865edb,R0447
460f97a346b44bac,R0448
719d72f3ee512dc6,R0449
8930013d06942df1,R0450
dd5bfa6cc2c0ecc3,R0451
e4f74c16de34d440,R0452
6bdd909329435e80,R0453
d326e189b1210916,R0454
670a2773607d785d,R0455
28921443f052bea6,R0456
fd3a622648667296,R0457
92dcc54a27107a37,R0458
eb0fe24bbc845ecc,R0459
acd86a5426e21ca0,R0460
abbb492978ff656d,R0461
3b1c02bac2a429e6,R0462
e564c3f1a93ccf2e,R0463
74baabfc8fd84b38,R0464
bb967277222e689c,R0465
8bbd7df8a324f31d,R0466
999912e63a3262ae,R0467
ee6c67859d70186b,R0468
2f0213137a80d485,R0469
f2c8f4b4c94d5c5c,R0470
889139b8e9c4cb36,R0471
961f18db4f138211,R0472
db84624b151cbe06,R0473
132ec5e8c984adef,R0474
4ec53ff7e2263f32,R0475
142d767a56a9254d,R0476
e0b3a679b83caccc,R0477
a11ae5f07572ef49,R0478
df6a7c43faa6732b,R0479
4c8ece50736f9e88,R0480
b461cf238506c5b8,R0481
f72f61ad6a5f12ed,R0482
44f545727e704187,R0483
af96613fdd793a3c,R0484
7ce5a92baabb6bc0,R0485
7bf87402413c27ff,R0486
0268f149d014b389,R0487
7edc0527cf782e19,R0488
813cff2aefa5d1f0,R0489
0e095ed785af7e43,R0490
e9056f9b5a40a301,R0491
5674a18a29a43ced,R0492
b04a6a0db525857d,R0493
7e9579921e5407cb,R0494
4c8b7540409da4ac,R0495
6b32b561dab8036c,R0496
bade9943ee01b63f,R0497
9147c5251cc99eb1,R0498
468bd274ac084bb9,R0499
ac337893a9fe0085,R0500
e34efcc824685332,R0501
f2df3bb043a8abb0,R0502
df56868afd166557,R0503
81d4191030b9704b,R0504
774fa432bd7d9c47,R0505
1b0fc9f777cad045,R0506
0c7b9cf2b7662b65,R0507
20789fb17b423c4c,R0508
5de4baa88061a77a,R0509
81c68492ccd72941,R0510
e2dac1f4739e0bd5,R0511
70b585c9d0f15725,R0512
c0fc0cd215ee1724,R0513
2b52334fab158861,R0514
c039f5aceb093537,R0515
04e43893e32f9d29,R0516
bbf1ea50be8008ab,R0517
da0349a87c8caa2f,R0518
a3d2a4250807f1e9,R0519
aaebac5fda798b1b,R0520
faf841f81c52638b,R0521
8e2dfd6bcf48e1e6,R0522
e25164e5b3fe208b,R0523
42d0d7c92b75fc1c,R0524
44a10f1ac8ce822e,R0525
2e5b4ff08a75fd02,R0526
a6f99b9e687f9d46,R0527
630e766f0a1987dd,R0528
e63c3f25338baf9a,R0529
ffdc825785c0ede8,R0530
57e5a4d515c8ce44,R0531
0cf57cb49272fd37,R0532
4729afff3bea0f0a,R0533
d6670dfe3e7b42bd,R0534
ef9c4f2465513956,R0535
b63ea3f7a57ae099,R0536
b8736690cf263a3c,R0537
245e6bf08b8d2955,R0538
40cdcbb7692fd408,R0539
599a4f98bb193368,R0540
b96fc7a0ea7d4b45,R0541
a2475a245c9907c4,R0542
14e44163678e24dc,R0543
fff8a057a40c4a60,R0544
bcbcbcf0f6ed196f,R0545
77e9ea355bd8ae57,R0546
a9aa3ed5b316470b,R0547
9beb96a2300109d7,R0548
eb7459e0c570251d,R0549
515cb8fcafb1ad98,R0550
bc2a85fd35fdc7bd,R0551
1c584f82a7a1c4f0,R0552
331c26103d885cae,R0553
bee6e93e9976f4fa,R0554
8486f61aa81a3daa,R0555
1d6443ffba9dfd80,R0556
0072b94dfa30608e,R0557
44d97b6707dae3f0,R0558
ac4dde0d1be05de0,R0559
4e78f06160b717ac,R0560
3213b1f13f5f0f7c,R0561
3bebf34ee9330cbd,R0562
05a61a3bd8ca4149,R0563
46cb43c2ab133ccc,R0564
2d88a31f325dfd3b,R0565
cfe350b20d23b02b,R0566
ad5e078beceaeb4a,R0567
c6ca293d4810e0d5,R0568
2a9fcb3382d351c8,R0569
abdd91e96515a617,R0570
ce6396b0f23f6ecc,R0571
35e69a79d2b1e804,R0572
63ee5bc46066a8a8,R0573
08db62f24627e71f,R0574
a96404cb928895f3,R0575
73f71f9556442117,R0576
224fa77d4b248046,R0577
8f5d16a5a9bd58b2,R0578
a4ce39a3720cd679,R0579
23356462d1320d61,R0580
f6d967cdadc6fbd9,R0581
fe44cc816576c652,R0582
31f5bbf4974d29c9,R0583
4a0b78598b42897a,R0584
ee441c8e027caa66,R0585
28b2df9fadc9f07e,R0586
feaaae90514eb2ac,R0587
95cdfd514098c38b,R0588
460089f796fb3f82,R0589
1812b8f5641287e3,R0590
50d5a7b861ed1c54,R0591
cf3b86489890b9f2,R0592
2ed3a794a70aa85f,R0593
6baac632f7711e26,R0594
a01f6d368ef64dc5,R0595
a30b270e25489e5c,R0596
bcee4f289ff6699c,R0597
30a7f60cd76ca58c,R0598
668fe56b17cfcd4f,R0599
bcf567421c581f0a,R0600
59a8ae019b64f2a7,R0601
6fa3ea52c8e31e06,R0602
42b0c50fc44140ec,R0603
a7c3f1010d64799a,R0604
546da23278482b0a,R0605
985991708c47003e,R0606
4c82371b8cd02d4d,R0607
28cf0d1c51b491e5,R0608
7e9068872228c474,R0609
f36d24c309e87e5b,R0610
e656e280bc8edd56,R0611
00c4543ec6bd25b4,R0612
edb3097e71330040,R0613
fa9610a50a1bf149,R0614
97258f576d4bb672,R0615
9ed7090d8fa690b0,R0616
b783ce08802cd1d1,R0617
70c7c3ca7f9b2728,R0618
fec06f52054ea900,R0619
bbfc4a3b7b6c94a0,R0620
a18a4f574854aced,R0621
3301af038a720587,R0622
67dea6c75d6a1075,R0623
2ac720f76384c57e,R0624
eec424a84c9e4c68,R0625
966ebb738e0f9d9b,R0626
ad84f18659e6bfe2,R0627
1de75f05d57bfc10,R0628
1b33663ad7b95fd8,R0629
5a0d2e9284004266,R0630
9194ae88379dbf1a,R0631
17fb5a88180f9904,R0632
4ce91d31c1e57c33,R0633
aa35446aab16017f,R0634
c65ee14957c0fa5c,R0635
209adad1015af86f,R0636
6478ccb4416e6a5d,R0637
78a4ac98191ac675,R0638
c40b70e0f6d80189,R0639
75cc85cdbe9ad46b,R0640
72e6fbf4f6382557,R0641
abeafe151a587d3b,R0642
fd78f89878479f56,R0643
235fa48eeed11d82,R0644
2e69730561ed70ad,R0645
e46a164cf310fd7d,R0646
49b24c6a41b82bd2,R0647
637e5a45062aa548,R0648
588ba85ff11a3263,R0649
ed813a848580ba50,R0650
011674f4a3834b8d,R0651
5d55202da0252627,R0652
842790dfaa937484,R0653
6f78a0d744c35456,R0654
6c4646d90b60a56c,R0655
c5cb9f885d8b3621,R0656
ba047a636b7d3793,R0657
dac9d1e654fac737,R0658
bfa9cb304075d3e8,R0659
924438fc6cbec836,R0660
3d15714d4d3d15dd,R0661
984b3b6e7479b571,R0662
c1afd71fc86bf682,R0663
fe0f34ebed689381,R0664
796c87ddbbaaf8c5,R0665
d163dd6c352fbcd2,R0666
9ff997ab15713e53,R0667
0ff9d10864db8364,R0668
5faefdc861684eb1,R0669
b5953ca1f8a0b8d7,R0670
6b52904b2ab91bf6,R0671
6ffb36aaeff1c81e,R0672
9afd00e81d6208e6,R0673
b22362b434e8ee62,R0674
727bf2b86b19ad88,R0675
97b8f130d32e9f4e,R0676
b53078de0147f6bf,R0677
6b6cd77fbc91b7a6,R0678
784bc2279baa878d,R0679
ddbc5530d2939d49,R0680
2efa5a839e62b1bd,R0681
034829ffdd0a0aea,R0682
816180220e8cb419,R0683
2858ac90c4758e1f,R0684
f28f7299d38c0932,R0685
29fc016c459aeb14,R0686
3edcccc4f341fb1a,R0687
b978c9852cde91bd,R0688
0b165bd4b9f42fd5,R0689
3a7d54a264d9f33e,R0690
dabf11918b48b40c,R0691
e792c0969cefe1b8,R0692
80cfab6bcff3a244,R0693
790ef197c8f236f5,R0694
0c27e6c3744fc14b,R0695
aeff7b87a8e83ebb,R0696
513271dadc1322ae,R0697
a80f66b254fe9eb3,R0698
df53c2948b32bde3,R0699
