title,title_key,category,upc,rating_stars,price_listing_gbp,price_excl_tax_gbp,price_incl_tax_gbp,tax_gbp,stock_count,in_stock,review_count,description_words,detail_url
Shakespeare's Sonnets,shakespeare s sonnets,Poetry,30a7f60cd76ca58c,4,20.66,20.66,20.66,0.0,19,True,0,143,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,set me free,Young Adult,ce6396b0f23f6ecc,5,17.46,17.46,17.46,0.0,19,True,0,132,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),scott pilgrim s precious little life scott pilgrim 1,Sequential Art,3b1c02bac2a429e6,5,52.29,52.29,52.29,0.0,19,True,0,148,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,rip it up and start again,Music,a34ba96d4081e6a4,5,35.02,35.02,35.02,0.0,19,True,0,148,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",our band could be your life scenes from the american indie underground 1981 1991,Music,deda3e61b9514b83,3,57.25,57.25,57.25,0.0,19,True,0,163,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,olio,Poetry,feb7cc7701ecf901,1,23.88,23.88,23.88,0.0,19,True,0,249,https://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,mesaerion the best science fiction stories 1800 1849,Science Fiction,e30f54cea9b38190,1,37.59,37.59,37.59,0.0,19,True,0,283,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,libertarianism for beginners,Politics,a18a4f574854aced,2,51.33,51.33,51.33,0.0,19,True,0,195,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,it s only the himalayas,Travel,a22124811bfa8350,2,45.17,45.17,45.17,0.0,19,True,0,230,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,in her wake,Thriller,23356462d1320d61,1,12.84,12.84,12.84,0.0,19,True,0,159,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,how music works,Music,327f68a59745c102,2,37.32,37.32,37.32,0.0,19,True,0,243,https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",foolproof preserving a guide to small batch jams jellies pickles condiments and more a foolproof guide to making small batch jams jellies pickles condiments and more,Food and Drink,5674a18a29a43ced,3,30.52,30.52,30.52,0.0,19,True,0,166,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),chase me paris nights 2,Romance,c2e46a2ee3b4a322,5,25.27,25.27,25.27,0.0,19,True,0,192,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,black dust,Romance,00bfed9e18bb36f3,5,34.53,34.53,34.53,0.0,19,True,0,216,https://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,birdsong a story in pictures,Childrens,9528d0948525bf5f,3,54.64,54.64,54.64,0.0,19,True,0,191,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,america s cradle of quarterbacks western pennsylvania s football factory from johnny unitas to joe montana,Default,c7d160c2c0de586f,3,22.5,22.5,22.5,0.0,19,True,0,252,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,aladdin and his wonderful lamp,Default,904208d6aa64b655,3,53.13,53.13,53.13,0.0,19,True,0,337,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,worlds elsewhere journeys around shakespeare s globe,Nonfiction,4c28def39d850cdf,5,40.3,40.3,40.3,0.0,18,True,0,368,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,wall and piece,Art,ccd9ffa25efabdea,4,44.18,44.18,44.18,0.0,18,True,0,129,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,the four agreements a practical guide to personal freedom,Spirituality,6258a1f6a6dcfe50,5,17.66,17.66,17.66,0.0,18,True,0,135,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,the five love languages how to express heartfelt commitment to your mate,Nonfiction,3c039985229453bf,3,31.05,31.05,31.05,0.0,18,True,0,201,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,the elephant tree,Thriller,5dada2b7be26bd03,5,23.82,23.82,23.82,0.0,18,True,0,177,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,the bear and the piano,Childrens,9f6568e9c95f60b0,1,36.89,36.89,36.89,0.0,18,True,0,172,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,sophie s world,Philosophy,6be3beb0793a53e7,5,15.94,15.94,15.94,0.0,18,True,0,212,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,penny maybe,Default,668fe56b17cfcd4f,3,33.29,33.29,33.29,0.0,18,True,0,48,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,maude 1883 1993 she grew up with the country,Default,094b269567e1c300,2,18.02,18.02,18.02,0.0,18,True,0,211,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",in a dark dark wood,Mystery,19ed25f4641d5efd,1,19.63,19.63,19.63,0.0,18,True,0,156,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,behind closed doors,Thriller,be5cc846f45496fb,4,52.22,52.22,52.22,0.0,18,True,0,193,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,you can t bury them all poems,Poetry,55f9da0c5eea2e10,2,33.63,33.63,33.63,0.0,17,True,0,297,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,slow states of collapse poems,Poetry,b4fd5943413e089a,3,57.31,57.31,57.31,0.0,17,True,0,212,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,reasons to stay alive,Nonfiction,c8f7f0cb1abb9cac,2,26.41,26.41,26.41,0.0,17,True,0,255,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),private paris private 10,Fiction,b12b89017878a60d,5,47.61,47.61,47.61,0.0,17,True,0,188,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,higherselfie wake up your life free your soul find your tribe,Nonfiction,c27f6e1f185b0383,5,23.11,23.11,23.11,0.0,17,True,0,258,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),without borders wanderlove 1,New Adult,acddfeab2a407640,2,45.07,45.07,45.07,0.0,16,True,0,263,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,when we collided,Contemporary,3ecb690d1542c568,1,31.77,31.77,31.77,0.0,16,True,0,148,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman",we love you charlie freeman,Fiction,8d455c7539795d2a,5,50.27,50.27,50.27,0.0,16,True,0,231,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,untitled collection sabbath poems 2014,Poetry,657fe5ead67a7767,4,14.27,14.27,14.27,0.0,16,True,0,226,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",unseen city the majesty of pigeons the discreet charm of snails other wonders of the urban wilderness,Nonfiction,d170b5a0da46380e,4,44.18,44.18,44.18,0.0,16,True,0,305,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,unicorn tracks,Fantasy,7ae099f3898e0209,3,18.78,18.78,18.78,0.0,16,True,0,198,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",unbound how eight technologies made us human transformed society and brought our world to the brink,History,9a9d6e9bc555731e,1,25.52,25.52,25.52,0.0,16,True,0,309,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),tsubasa world chronicle 2 tsubasa world chronicle 2,Sequential Art,09555be379ad9253,1,16.28,16.28,16.28,0.0,16,True,0,144,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,throwing rocks at the google bus how growth became the enemy of prosperity,Nonfiction,7858914fad68493c,3,31.12,31.12,31.12,0.0,16,True,0,389,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,this one summer,Sequential Art,51653ef291ab7ddc,4,19.49,19.49,19.49,0.0,16,True,0,205,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,thirst,Fiction,709822d0b5bcb7f4,5,17.27,17.27,17.27,0.0,16,True,0,253,https://books.toscrape.com/catalogue/thirst_946/index.html
The Torch Is Passed: A Harding Family Story,the torch is passed a harding family story,Add a comment,4eed62cf5f8d8edf,1,19.09,19.09,19.09,0.0,16,True,0,722,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
The Secret of Dreadwillow Carse,the secret of dreadwillow carse,Childrens,b5ea0b5dabed25a8,1,56.13,56.13,56.13,0.0,16,True,0,278,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",the pioneer woman cooks dinnertime comfort classics freezer food 16 minute meals and other delicious ways to solve supper,Food and Drink,142d767a56a9254d,1,56.41,56.41,56.41,0.0,16,True,0,359,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,the past never ends,Mystery,5ee94540d0749ea0,4,56.5,56.5,56.5,0.0,16,True,0,238,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Natural History of Us (The Fine Art of Pretending #2),the natural history of us the fine art of pretending 2,Young Adult,cedf82b5086e4691,3,45.22,45.22,45.22,0.0,16,True,0,271,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
The Nameless City (The Nameless City #1),the nameless city the nameless city 1,Sequential Art,7d385d34d12e60ff,4,38.16,38.16,38.16,0.0,16,True,0,192,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never Was (Forensic Instincts #5),the murder that never was forensic instincts 5,Fiction,d01ac97e2b8947c2,3,54.11,54.11,54.11,0.0,16,True,0,290,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,the most perfect thing inside and outside a bird s egg,Science,aadee1c326d286e3,4,42.96,42.96,42.96,0.0,16,True,0,286,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",the mindfulness and acceptance workbook for anxiety a guide to breaking free from anxiety phobias and worry using acceptance and commitment therapy,Add a comment,31075275518532d7,4,23.89,23.89,23.89,0.0,16,True,0,478,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,the life changing magic of tidying up the japanese art of decluttering and organizing,Nonfiction,0da9aa9d24677fc0,3,16.77,16.77,16.77,0.0,16,True,0,207,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",the inefficiency assassin time management tactics for working smarter not longer,Default,8c9e6bf2467d740d,5,20.59,20.59,20.59,0.0,16,True,0,193,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,the gutsy girl escapades for your life of epic adventure,Nonfiction,acd86a5426e21ca0,1,37.13,37.13,37.13,0.0,16,True,0,280,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,the electric pencil drawings from inside state hospital no 3,Nonfiction,a30b270e25489e5c,1,56.06,56.06,56.06,0.0,16,True,0,221,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
The Death of Humanity: and the Case for Life,the death of humanity and the case for life,Philosophy,bd261725b99f5983,4,58.11,58.11,58.11,0.0,16,True,0,140,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",the bulletproof diet lose up to a pound a day reclaim energy and focus upgrade your life,Health,43c6a960757cf559,3,49.05,49.05,49.05,0.0,16,True,0,301,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
The Art Forger,the art forger,Add a comment,80cfab6bcff3a244,3,40.76,40.76,40.76,0.0,16,True,0,224,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,the age of genius the seventeenth century and the birth of the modern mind,History,a3d2a4250807f1e9,1,19.73,19.73,19.73,0.0,16,True,0,255,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,the activist s tao te ching ancient advice for a modern revolution,Spirituality,7d6d2a6c0276f81b,5,32.24,32.24,32.24,0.0,16,True,0,218,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,spark joy an illustrated master class on the art of organizing and tidying up,Nonfiction,87b0615b6e1f4d7b,4,41.83,41.83,41.83,0.0,16,True,0,158,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Soul Reader,soul reader,Default,e6af5bf1163c1151,2,39.58,39.58,39.58,0.0,16,True,0,36,https://books.toscrape.com/catalogue/soul-reader_926/index.html
Security,security,Horror,6f78a0d744c35456,2,39.25,39.25,39.25,0.0,16,True,0,477,https://books.toscrape.com/catalogue/security_925/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)",saga volume 6 saga collected editions 6,Fantasy,c849f0b2f5d6a742,3,25.02,25.02,25.02,0.0,16,True,0,40,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",saga volume 5 saga collected editions 5,Sequential Art,53a3d11bb568cc8b,2,51.04,51.04,51.04,0.0,16,True,0,50,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,reskilling america learning to labor in the twenty first century,Nonfiction,d7310206583a54b6,2,19.83,19.83,19.83,0.0,16,True,0,311,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",rat queens vol 3 demons rat queens collected editions 11 15,Sequential Art,c82a3e358c773c73,3,50.4,50.4,50.4,0.0,16,True,0,47,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",princess jellyfish 2 in 1 omnibus vol 01 princess jellyfish 2 in 1 omnibus 1,Sequential Art,0fa6dceead7ce47a,5,13.61,13.61,13.61,0.0,16,True,0,256,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Princess Between Worlds (Wide-Awake Princess #5),princess between worlds wide awake princess 5,Fantasy,0e691eda369f4e09,5,13.34,13.34,13.34,0.0,16,True,0,57,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"Pop Gun War, Volume 1: Gift",pop gun war volume 1 gift,Sequential Art,e80f8e518b300dfe,1,18.97,18.97,18.97,0.0,16,True,0,376,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",political suicide missteps peccadilloes bad calls backroom hijinx sordid pasts rotten breaks and just plain dumb mistakes in the annals of american politics,History,7392c0032f92d816,2,36.28,36.28,36.28,0.0,16,True,0,226,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Patience,patience,Sequential Art,9429b4d59c537af5,3,10.16,10.16,10.16,0.0,16,True,0,125,https://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",outcast vol 1 a darkness surrounds him outcast 1,Sequential Art,889139b8e9c4cb36,4,15.44,15.44,15.44,0.0,16,True,0,53,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),orange the complete collection 1 orange the complete collection 1,Sequential Art,11809b1d323b3057,1,48.41,48.41,48.41,0.0,16,True,0,189,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
Online Marketing for Busy Authors: A Step-By-Step Guide,online marketing for busy authors a step by step guide,Self Help,9ffa38d3b832433a,1,46.35,46.35,46.35,0.0,16,True,0,231,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
On a Midnight Clear,on a midnight clear,Add a comment,b757c0c361e689ce,3,14.07,14.07,14.07,0.0,16,True,0,180,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
Obsidian (Lux #1),obsidian lux 1,Young Adult,3c346ab1e76ae1f6,2,14.86,14.86,14.86,0.0,16,True,0,214,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
My Paris Kitchen: Recipes and Stories,my paris kitchen recipes and stories,Food and Drink,784bc2279baa878d,2,33.37,33.37,33.37,0.0,16,True,0,280,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
Masks and Shadows,masks and shadows,Fantasy,fa9610a50a1bf149,2,56.4,56.4,56.4,0.0,16,True,0,192,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",mama tried traditional italian cooking for the screwed crude vegan and tattooed,Food and Drink,72f9d5be3472d34e,4,14.02,14.02,14.02,0.0,16,True,0,140,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",lumberjanes vol 2 friendship to the max lumberjanes 5 8,Sequential Art,460089f796fb3f82,2,46.91,46.91,46.91,0.0,16,True,0,176,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",lumberjanes vol 1 beware the kitten holy lumberjanes 1 4,Sequential Art,b6ee99bcf06fc91f,3,45.61,45.61,45.61,0.0,16,True,0,136,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),lumberjanes vol 3 a terrible plan lumberjanes 9 12,Sequential Art,57e5a4d515c8ce44,2,19.92,19.92,19.92,0.0,16,True,0,47,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"Layered: Baking, Building, and Styling Spectacular Cakes",layered baking building and styling spectacular cakes,Food and Drink,7b75cc7f223791f4,1,40.11,40.11,40.11,0.0,16,True,0,166,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),judo seven steps to black belt an introductory guide for beginners,Add a comment,228f74b74f3a08ae,2,53.9,53.9,53.9,0.0,16,True,0,171,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
Join,join,Science Fiction,18ad3ed896c7ce05,5,35.67,35.67,35.67,0.0,16,True,0,291,https://books.toscrape.com/catalogue/join_902/index.html
In the Country We Love: My Family Divided,in the country we love my family divided,Nonfiction,b136b1b180ca753a,4,22.0,22.0,22.0,0.0,16,True,0,276,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,immunity how elie metchnikoff changed the course of modern medicine,Science,e4f74c16de34d440,5,57.36,57.36,57.36,0.0,16,True,0,289,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",i hate fairyland vol 1 madly ever after i hate fairyland compilations 1 5,Sequential Art,8d4eefad7a2b3915,2,29.17,29.17,29.17,0.0,16,True,0,270,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,i am a hero omnibus volume 1,Sequential Art,1c89ae5bb804e4de,3,54.63,54.63,54.63,0.0,16,True,0,171,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
How to Be Miserable: 40 Strategies You Already Use,how to be miserable 40 strategies you already use,Self Help,a6f99b9e687f9d46,1,46.03,46.03,46.03,0.0,16,True,0,264,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
Her Backup Boyfriend (The Sorensen Family #1),her backup boyfriend the sorensen family 1,Romance,2a97cffe61c3c4c7,1,33.97,33.97,33.97,0.0,16,True,0,217,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",giant days vol 2 giant days 5 8,Sequential Art,f2df3bb043a8abb0,2,22.11,22.11,22.11,0.0,16,True,0,145,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,forever and forever the courtship of henry longfellow and fanny appleton,Historical Fiction,9beb96a2300109d7,3,29.69,29.69,29.69,0.0,16,True,0,269,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
First and First (Five Boroughs #3),first and first five boroughs 3,Romance,9e28048cea8d41f7,4,15.97,15.97,15.97,0.0,16,True,0,216,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
Fifty Shades Darker (Fifty Shades #2),fifty shades darker fifty shades 2,Romance,7add3f8e49ec0826,1,21.96,21.96,21.96,0.0,16,True,0,198,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
