upc,title,category,price_listing_gbp
a33ed2e6068df53e,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,14.41
bf5de316a5e9a4ab,Doctor Sleep (The Shining #2),Horror,40.12
e956d67c9bcc5809,The Girl on the Train,Default,55.02
e2e7b683b4c15b7d,Catching Jordan (Hundred Oaks),Young Adult,50.83
d1848064c54e01c7,Watchmen,Add a comment,58.05
53a3d11bb568cc8b,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04
708345c9897fd7c5,Lady Midnight (The Dark Artifices #1),Default,16.28
64fd010bf8d15096,The Children,Add a comment,11.88
1fbb5f786e53a0ce,Angels Walking (Angels Walking #1),Add a comment,34.2
3c456328b04a8ee8,The Red Tent,Historical Fiction,35.66
3fc9d51d1c4d6ba7,Something Blue (Darcy & Rachel #2),Womens Fiction,54.62
2da5edf8b5776c9a,The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8
e0bdd79c7304ee8d,The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),Default,43.62
36d5884d44484277,Dune (Dune #1),Science Fiction,54.86
81372abc86f65c79,Disrupted: My Misadventure in the Start-Up Bubble,Nonfiction,15.28
4ef75307fb64e2ad,Lila (Gilead #3),Fiction,12.47
1f329c2e7d7de8bd,Big Magic: Creative Living Beyond Fear,Nonfiction,30.8
7ffebdd1d5148aef,Sister Dear,Fiction,40.2
b8d7b3f5c7a95d65,Psycho: Sanitarium (Psycho #1.5),Horror,36.97
b003f8bb02f76dc5,Heir to the Sky,Fantasy,44.07
7267864328ae8b9d,Crown of Midnight (Throne of Glass #2),Fantasy,43.29
1a5044d233936b1a,The Rise of Theodore Roosevelt (Theodore Roosevelt #1),Biography,42.57
15f415d436888b2d,"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,49.31
c300cc9326592b65,Gratitude,Nonfiction,26.66
7d6d2a6c0276f81b,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,32.24
16e843e6b853cc2f,Lady Renegades (Rebel Belle #3),Young Adult,53.04
913e7109cec0cb4c,Nap-a-Roo,Childrens,25.08
b69c852e7e3956af,When Breath Becomes Air,Nonfiction,39.36
a4eef523118805ef,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,38.77
1528279aec1f3dce,The Star-Touched Queen,Fantasy,46.02
081305e6df719dff,The Testament of Mary,Fiction,52.67
f77dbf2323deb740,The Requiem Red,Young Adult,22.65
1b8187fa4bf6ab05,The 14th Colony (Cotton Malone #11),Thriller,39.24
4a823d80aa30dbb0,Please Kill Me: The Uncensored Oral History of Punk,Music,31.19
d4de23aa98acc65b,The Shining (The Shining #1),Default,27.88
510832818edb6fbc,Scarlet (The Lunar Chronicles #2),Young Adult,14.57
4881cc53f6c8892f,The Literature Book (Big Ideas Simply Explained),Nonfiction,17.43
2c04320e110a14a3,Take Me with You,Fiction,45.21
d234ddecef49ef4e,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Default,17.81
bd26e8a79a856c31,John Vassos: Industrial Design for Modern Life,Default,20.22
5dada2b7be26bd03,The Elephant Tree,Thriller,23.82
2b685187f55c5d31,The Travelers,Thriller,15.77
1c0a38899c82b60a,"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,52.41
39592d9d72e717c4,Of Mice and Men,Classics,47.11
04f6c929888f4f11,Why Not Me?,Nonfiction,17.76
e7e87087b1a44711,"Vampire Knight, Vol. 1 (Vampire Knight #1)",Paranormal,15.4
d069086944f2e330,Can You Keep a Secret? (Fear Street Relaunch #4),Horror,48.64
132adf7335bb384a,Settling the Score (The Summer Games #1),Sports and Games,44.91
66937c669c4da072,Dark Places,Default,23.9
70ed59f194b3c556,A World of Flavor: Your Gluten Free Passport,Default,42.95
0e691eda369f4e09,Princess Between Worlds (Wide-Awake Princess #5),Fantasy,13.34
c53d9fefcda371e9,Life Without a Recipe,Autobiography,59.04
4f19709e47883df5,Meditations,Philosophy,25.89
5b546a46a86a9d8c,Benjamin Franklin: An American Life,Biography,48.19
2dbb7ec08cdd7f3c,The Glittering Court (The Glittering Court #1),Fantasy,44.28
024387ca4cafd5cc,You (You #1),Thriller,43.61
4b3f4f151c99f472,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Science Fiction,33.26
dab0196cd5fc8e5e,When You Are Engulfed in Flames,Humor,30.89
621e2c310cec8d32,Green Eggs and Ham (Beginner Books B-16),Childrens,10.79
de3f25248ba0789f,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,59.64
08b2f71d93836313,The Wright Brothers,Default,56.8
bd087cf6a846db75,"Sit, Stay, Love",Romance,20.9
0ec9d2b018fb10d8,The Republic,Add a comment,33.78
4280ac3eab57aa5d,The Girl You Lost,Mystery,12.29
8682c03de6a844ff,A Man Called Ove,Fiction,39.72
099fae4a0705d63b,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,34.65
a492f49a3e2b6a71,Frankenstein,Default,38.0
012170e4fc87ace0,Give It Back,Thriller,18.32
cb17945cb90b7837,The Fellowship of the Ring (The Lord of the Rings #1),Default,10.27
992974ba6a0536ea,The Hidden Oracle (The Trials of Apollo #1),Fantasy,52.26
e049d44c4f1cf1b2,Ender's Game (The Ender Quintet #1),Default,43.64
a812f6969ddf3e39,Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,28.42
47271d8e08b5d31c,Batman: The Dark Knight Returns (Batman),Sequential Art,15.38
60369d96b7b80869,Where She Went (If I Stay #2),Young Adult,41.73
12a90b90283b2e6d,Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,Food and Drink,24.91
ffd54178acc9a6a5,Amatus,Default,50.54
deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25
c1379d3744f1dd2c,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Add a comment,56.48
860318b8e244f39c,Black Flags: The Rise of ISIS,Nonfiction,40.87
1c929cfd16b71907,Scarlett Epstein Hates It Here,Young Adult,43.55
d512871626a5e588,Luckiest Girl Alive,Default,49.83
08decd9664e5d56e,The Book of Basketball: The NBA According to The Sports Guy,Sports and Games,44.84
9189fd009df41d0e,"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,11.75
6fd646a334e6e133,What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,19.6
6fe02600f322a0a9,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,45.24
c5f91eb481427dc5,When I'm Gone,Fiction,51.96
aadee1c326d286e3,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,42.96
4fd0a2a350f016e6,Unlimited Intuition Now,Default,58.87
03cbb67c0f990d87,A Game of Thrones (A Song of Ice and Fire #1),Add a comment,46.42
2173a2ce35f6ace1,"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",Nonfiction,53.51
366a236aa1ea6f07,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21
487449f4f6322f0f,The Catcher in the Rye,Add a comment,24.55
3d250ab0f12be445,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,15.42
d8292cd5f1aca291,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Nonfiction,28.85
ac8e3949d284e9a9,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89
7b75cc7f223791f4,"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,40.11
6587f46697fc4443,The Hound of the Baskervilles (Sherlock Holmes #5),Classics,14.82
3063c7e95d0bf76f,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Add a comment,59.15
31e2e2d9cca3778f,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48
8d4eefad7a2b3915,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17
ef49db2aaa9bb547,Catastrophic Happiness: Finding Joy in Childhood's Messy Years,Parenting,37.35
8a380641491d43ed,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,56.76
634b7165c96ebb9f,Zero History (Blue Ant #3),Default,34.77
6d5300b2d8f37e07,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,28.09
b5ea0b5dabed25a8,The Secret of Dreadwillow Carse,Childrens,56.13
acddfeab2a407640,Without Borders (Wanderlove #1),New Adult,45.07
b0e479be03911916,"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,20.02
0bbc48294707ba96,Blink: The Power of Thinking Without Thinking,Nonfiction,21.74
ca71e72655bece85,Something More Than This,Romance,16.24
40c4bf520c17de54,A Gentleman's Position (Society of Gentlemen #3),Romance,14.75
bd261725b99f5983,The Death of Humanity: and the Case for Life,Philosophy,58.11
8d8e9f9b8730eb25,Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,Default,30.6
94bb629a3f6dd00b,Digital Fortress,Fiction,58.0
2e40333991f56f45,For the Love: Fighting for Grace in a World of Impossible Standards,Nonfiction,45.13
dfd9ff1f343cdaff,The Little Paris Bookshop,Fiction,24.73
23310ce84d3c9f85,Gone with the Wind,Classics,32.49
e80f8e518b300dfe,"Pop Gun War, Volume 1: Gift",Sequential Art,18.97
3968e3fbf4695d7c,Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,56.86
45045146dbf7b009,Isla and the Happily Ever After (Anna and the French Kiss #3),Young Adult,48.13
38199c5d7da0c0ef,Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,48.39
b6f1cfadc4dd79d4,Off Sides (Off #1),New Adult,39.45
6a57286a8890d8c5,The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,Nonfiction,38.71
8976d9161c027142,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Business,43.14
4781b6bfd6f7a2c5,"Chronicles, Vol. 1",Music,52.6
47f4fd3e8e1dac05,The Glass Castle,Add a comment,16.24
3b9a3b4624b7fd6d,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,19.43
3fc124f59f3068e4,Foundation (Foundation (Publication Order) #1),Science Fiction,32.42
24af96df0bafb925,Looking for Lovely: Collecting the Moments that Matter,Nonfiction,29.14
b0913e67d38d5ed5,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7
4d3a4c7b442a9a4e,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,25.06
077b635ff2afc578,Will You Won't You Want Me?,Womens Fiction,13.86
4a0a276409968a73,The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53
3cdca3b4a93980f5,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,46.96
a86972014275e072,The First Hostage (J.B. Collins #2),Fiction,25.85
55f9da0c5eea2e10,You can't bury them all: Poems,Poetry,33.63
5569c3fea112718e,M Train,Autobiography,27.18
a1985630339f4b3d,Old Records Never Die: One Man's Quest for His Vinyl and His Past,Music,55.66
f3a0b8c835129558,The Bhagavad Gita,Religion,57.49
be3db344a845580b,We Are All Completely Beside Ourselves,Contemporary,24.04
0e4e2d31c2fb3aad,Walk the Edge (Thunder Road #2),Young Adult,32.36
0345872b14f9e774,The Origin of Species,Science,10.01
5fbd03b1ac0a0e69,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Default,33.17
5a6b7155f2797537,Harry Potter and the Order of the Phoenix (Harry Potter #5),Fantasy,31.63
4e980425468708da,Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89
f3c70d296ec796c4,Catherine the Great: Portrait of a Woman,History,58.55
72f9d5be3472d34e,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,14.02
d5f5a122a593b580,"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,45.17
d6361d16212664ed,The Shadow Hero (The Shadow Hero),Sequential Art,33.14
2c34f9432069b52b,Arena,Science Fiction,21.36
bee3672891cca906,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,29.14
970bd3316219e7dc,The Case for Christ (Cases for Christianity),Add a comment,47.84
dc6f688b82e42a5b,The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,44.73
3c346ab1e76ae1f6,Obsidian (Lux #1),Young Adult,14.86
56a34d0cec11d6b0,Fun Home: A Family Tragicomic,Add a comment,56.59
fef91502cbacf23a,"A Murder Over a Girl: Justice, Gender, Junior High",Nonfiction,13.2
9270575728a13a61,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,43.3
7284d85428305f5a,If I Stay (If I Stay #1),Default,38.13
c88422d8959260ab,The Goldfinch,Default,43.58
5ee94540d0749ea0,The Past Never Ends,Mystery,56.5
8dde2ff3f6fcc0a3,Killing Floor (Jack Reacher #1),Thriller,31.49
7b599c8bfcdd8d30,Camp Midnight,Sequential Art,17.08
87beabf664115d79,A Storm of Swords (A Song of Ice and Fire #3),Fantasy,31.22
be5cc846f45496fb,Behind Closed Doors,Thriller,52.22
582a21a1dbbef3cf,The Lonely City: Adventures in the Art of Being Alone,Nonfiction,33.26
1d89a2aa9f6ce50f,Awkward,Sequential Art,38.02
48736df57e7bec9f,The Great Railway Bazaar,Travel,30.54
c9770bb1d5a492a0,A Heartbreaking Work of Staggering Genius,Autobiography,54.29
09d26b5f819c6a36,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,18.51
8754c83ab2a7ae71,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72
61bc8167c9680283,Two Boys Kissing,Young Adult,32.74
4130678275eb7c8c,The Sense of an Ending,Add a comment,31.38
9707989a439757b4,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,43.63
4b9d9cfe0f435788,Crazy Love: Overwhelmed by a Relentless God,Christian,47.72
c7d160c2c0de586f,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,22.5
6983328f15506cb9,Eleanor & Park,Default,56.51
ac27ab4bcd9c492e,Something Borrowed (Darcy & Rachel #1),Womens Fiction,48.96
0e0dcc3339602b28,Shoe Dog: A Memoir by the Creator of NIKE,Business,23.99
20dc4f1ac5d4fd9c,Keep Me Posted,Womens Fiction,20.46
dfb0849016bc122c,The Bette Davis Club,Fiction,30.66
ebf81a62e4798fd1,Raspberry Pi Electronics Projects for the Evil Genius,Default,49.67
2ba5ccc84d35006c,"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Music,12.36
5439bae708bca198,Beautiful Creatures (Caster Chronicles #1),Default,21.55
ce42e3de94226b2b,Sugar Rush (Offensive Line #2),Sports and Games,24.42
b757c0c361e689ce,On a Midnight Clear,Add a comment,14.07
ba54932df84e8cea,Library of Souls (Miss Peregrine’s Peculiar Children #3),Young Adult,48.56
0e94a089328be4bc,Daily Fantasy Sports,Default,36.58
c44c5e1425475206,Les Fleurs du Mal,Poetry,29.04
8e9dd8431170c09e,Rework,Business,44.88
e7469e22b5bfb3e7,The Art of War,Default,33.34
047dfa57ba0bf638,"Eat Fat, Get Thin",Health,54.07
a22124811bfa8350,It's Only the Himalayas,Travel,45.17
ad41c24ccac0c7ce,Angels & Demons (Robert Langdon #1),Default,51.48
0fa6dceead7ce47a,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61
39eefec3a8498dde,Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,45.05
012094e90a4b908d,The Rosie Project (Don Tillman #1),Default,54.04
08672cd59171d5e4,Beyond Good and Evil,Philosophy,43.38
f51062bf579507d9,The Demon-Haunted World: Science as a Candle in the Dark,Default,52.25
cfeb1e1e0e695b58,Night Sky with Exit Wounds,Poetry,41.05
95019eac1c0a052f,Steve Jobs,Default,39.5
d01ac97e2b8947c2,The Murder That Never Was (Forensic Instincts #5),Fiction,54.11
00bfed9e18bb36f3,Black Dust,Romance,34.53
18b4545a5ed15581,The Communist Manifesto,Add a comment,14.76
36c15687f5ab0f7c,The Lover's Dictionary,Default,58.09
e2d47e82c50d41d9,The Rest Is Noise: Listening to the Twentieth Century,Add a comment,34.77
f732d7d18a91d2ba,The Epidemic (The Program 0.6),Young Adult,14.44
e256de8aa0c2115f,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Nonfiction,27.35
a278db6b2b09cf9f,Someone Like You (The Harrisons #2),Contemporary,52.79
8c9e6bf2467d740d,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,20.59
eff5710404e2ff78,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Food and Drink,28.25
01d2001ac1e6f8a3,A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,52.37
b4f5672f68ec3a83,Rogue Lawyer (Rogue Lawyer #1),Add a comment,50.11
5b43cae640f2338a,Luis Paints the World,Childrens,53.95
2d1e337aaf341858,Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69
de4b403cb629a29f,Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84
dab5e75d1339706a,Vampire Girl (Vampire Girl #1),Fantasy,53.82
bfd5e1701c862ac3,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,57.06
cd2a2a70dd5d176d,Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,55.53
37c0cb19713d8dda,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,58.08
ce1ae197ada2aec4,The Silent Sister (Riley MacPherson #1),Fiction,46.29
2973d38c2fbd7a5c,Remember Me?,Default,11.48
a2dc754afb69bb32,Confessions of a Shopaholic (Shopaholic #1),Default,48.94
f21effc079a2b38a,The Long Haul (Diary of a Wimpy Kid #9),Humor,44.07
ce8666d9b42fc9a0,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,56.27
a7eef9d6795422c1,Taking Shots (Assassins #1),Default,18.88
e9906e2f0d189745,The Time Keeper,Fiction,27.88
e6635f5b0a2c78db,The Invention of Wings,Historical Fiction,37.34
d3f9c4539c0caa64,Big Little Lies,Fiction,22.11
ad15a9a139919918,Far From True (Promise Falls Trilogy #2),Thriller,34.93
9f6568e9c95f60b0,The Bear and the Piano,Childrens,36.89
a9d7b75461084a26,11/22/63,Fiction,48.48
e77033ce559947f7,"Zero to One: Notes on Startups, or How to Build the Future",Nonfiction,34.06
8fab4c4f6f82a4ce,If I Gave You God's Phone Number....: Searching for Spirituality in America,Spirituality,20.91
1dfe412b8ac00530,The Black Maria,Poetry,52.15
9a7291b89bd5445c,My Life Next Door (My Life Next Door ),Young Adult,36.39
155e42df837ee5ff,Between Shades of Gray,Historical Fiction,20.79
d6d9ffea95f2f8bf,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,Art,48.63
19fec36a1dfb4c16,A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97
7186241e043de5dc,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Nonfiction,35.92
825d6c44da3ca5a6,Lab Girl,Autobiography,40.85
d7310206583a54b6,Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,19.83
abc4a7ee16c21088,Me Talk Pretty One Day,Autobiography,57.6
6e473eff459e809f,The Hook Up (Game On #1),New Adult,36.29
4242cc3d0437db12,Toddlers Are A**holes: It's Not Your Fault,Humor,25.55
e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93
b9f6305a3d650e2c,The Picture of Dorian Gray,Classics,29.7
6e06d0f00f6da20f,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,36.39
41fc5dce044f16f5,Girl in the Blue Coat,Historical Fiction,46.83
147019cae600694e,Fellside,Default,38.62
e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6
ad04ad9fc179fc5d,Secrets and Lace (Fatal Hearts #1),Default,20.27
afa829857f82f99e,Hamilton: The Revolution,Nonfiction,58.79
71a6471bbdac21d9,Lord of the Flies,Add a comment,24.89
cb62418129b864a3,Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,39.13
0baf71623648413a,The Name of God is Mercy,Nonfiction,37.25
09555be379ad9253,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28
9a9d6e9bc555731e,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,25.52
31c56c4d0fe19340,Raymie Nightingale,Childrens,34.41
554e9e2d532b3a87,The Infinities,Fiction,27.41
6d235933670503d9,Musicophilia: Tales of Music and the Brain,Default,46.58
1246e4ffeb5ac4ea,Let's Pretend This Never Happened: A Mostly True Memoir,Nonfiction,45.11
c068c013d6921fea,Shameless,New Adult,58.35
7093cf549cd2e7de,Logan Kade (Fallen Crest High #5.5),Academic,13.12
4b50fb1359ebf35d,The New Brand You: Your New Image Makes the Sale for You,Default,44.05
47d47155e89c8be7,More Than Music (Chasing the Dream #1),Add a comment,37.61
cad70d6ffd53912f,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,26.78
746029796363aa51,Nightstruck: A Novel,Young Adult,50.35
429b4a811bef386c,Critique of Pure Reason,Philosophy,20.75
63c0826ef59eae66,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Science,57.35
c0db71f6bb14db11,"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,11.64
2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job,Business,33.34
7f5157bf53065d36,Brilliant Beacons: A History of the American Lighthouse,History,11.45
0c11e2d068768dbb,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,28.41
d5ad4c92d8bf26c9,Drama,Default,38.7
09a7b0b566ad6225,Outliers: The Story of Success,Nonfiction,14.16
fce19f9b4a943f22,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,37.97
9639e89d20228e6e,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,52.87
a2bd4ca82d908442,Every Last Word,Default,46.47
1e264c677d4ee4ae,City of Fallen Angels (The Mortal Instruments #4),Default,11.23
a8f4577a48023344,Vogue Colors A to Z: A Fashion Coloring Book,Default,52.35
ae884ac655d6ee3e,Paper and Fire (The Great Library #2),Fantasy,49.45
df7e628bad5782b4,Dirty (Dive Bar #1),Romance,40.83
f0f38174a7e689a3,This Is Where It Ends,Young Adult,27.12
caf4fe9311f1dc59,Modern Romance,Add a comment,28.26
7a2b51f69e81c722,Me Before You (Me Before You #1),Fiction,19.02
